2026-05-07 12:03:41,487 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Arkansas_xgboost.pkl
2026-05-07 12:03:41,489 | INFO     | src.models.lstm_model | [LSTM] Training for state: Arkansas
2026-05-07 12:03:44,733 | INFO     | src.models.lstm_model | [LSTM] Arkansas — training complete.
2026-05-07 12:03:46,129 | INFO     | src.models.lstm_model | [LSTM] Arkansas metrics: {'rmse': 48069165.1104, 'mae': 45078591.3899, 'mape': 68.5526}
2026-05-07 12:03:58,801 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Arkansas_lstm.pkl
2026-05-07 12:03:58,802 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:03:58,802 | INFO     | train_all | Processing state: California
2026-05-07 12:03:58,809 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:03:58,809 | INFO     | src.models.sarima_model | [SARIMA] Training for state: California
2026-05-07 12:03:58,809 | ERROR    | train_all |   [SARIMA] Failed for California: max_p must be >= start_p
2026-05-07 12:03:58,809 | INFO     | src.models.prophet_model | [Prophet] Training for state: California
2026-05-07 12:03:58,811 | ERROR    | train_all |   [Prophet] Failed for California: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:03:58,811 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: California
2026-05-07 12:03:59,027 | INFO     | src.models.xgboost_model | [XGBoost] California metrics: {'rmse': 378879756.1212, 'mae': 235601926.5083, 'mape': 92.7282}
2026-05-07 12:03:59,154 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\California_xgboost.pkl
2026-05-07 12:03:59,155 | INFO     | src.models.lstm_model | [LSTM] Training for state: California
2026-05-07 12:04:02,448 | INFO     | src.models.lstm_model | [LSTM] California — training complete.
2026-05-07 12:04:03,771 | INFO     | src.models.lstm_model | [LSTM] California metrics: {'rmse': 367986890.4875, 'mae': 338812862.4184, 'mape': 70.486}
2026-05-07 12:04:12,017 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\California_lstm.pkl
2026-05-07 12:04:12,018 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:04:12,018 | INFO     | train_all | Processing state: Colorado
2026-05-07 12:04:12,023 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:04:12,023 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Colorado
2026-05-07 12:04:12,025 | ERROR    | train_all |   [SARIMA] Failed for Colorado: max_p must be >= start_p
2026-05-07 12:04:12,025 | INFO     | src.models.prophet_model | [Prophet] Training for state: Colorado
2026-05-07 12:04:12,025 | ERROR    | train_all |   [Prophet] Failed for Colorado: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:04:12,028 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Colorado
2026-05-07 12:04:12,362 | INFO     | src.models.xgboost_model | [XGBoost] Colorado metrics: {'rmse': 75626910.9171, 'mae': 48782041.9156, 'mape': 87.8791}
2026-05-07 12:04:12,605 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Colorado_xgboost.pkl
2026-05-07 12:04:12,605 | INFO     | src.models.lstm_model | [LSTM] Training for state: Colorado
2026-05-07 12:04:17,067 | INFO     | src.models.lstm_model | [LSTM] Colorado — training complete.
2026-05-07 12:04:18,697 | INFO     | src.models.lstm_model | [LSTM] Colorado metrics: {'rmse': 77853641.865, 'mae': 74406439.2606, 'mape': 65.6732}
2026-05-07 12:04:31,392 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Colorado_lstm.pkl
2026-05-07 12:04:31,392 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:04:31,392 | INFO     | train_all | Processing state: Connecticut
